category,property,type,count,values,sources
history,state,null,153,"{""state"":null,""url"":""/search?client=firefox-b-d&q=browserleaks&sei=mdizacKhG-CX5OUPnZneoAU"",""metadat; {""state"":null,""url"":""/search?client=firefox-b-d&q=http%3A%2F%2F"",""metadata"":{""entryId"":1773392525989; {""key"":""1773394046047""}; null",www.google.com; timesofindia.indiatimes.com; amiunique.org; ogs.google.com; fingerprint.com
media,decodingInfo,string,74,"{""type"":""file"",""video"":{""contentType"":""video/mp4; ; {""type"":""media-source"",""video"":{""contentType"":""vid; {""type"":""file"",""video"":{""contentType"":""video/webm;",fingerprint.com; www.youtube.com
media,enumerateDevices,string,3,[FP],browserleaks.com
navigator,,undefined,27,undefined,fingerprint.com
navigator,appCodeName,string,13,Mozilla,fingerprint.com; browserleaks.com
navigator,appMinorVersion,undefined,12,undefined,timesofindia.indiatimes.com; browserleaks.com
navigator,appName,string,109,Netscape,browserleaks.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; fingerprint.com; ads.pubmatic.com
navigator,appVersion,string,95,5.0 (Macintosh),timesofindia.indiatimes.com; browserleaks.com; fingerprint.com
navigator,battery,undefined,2,undefined,browserleaks.com
navigator,bluetooth,undefined,177,undefined,hbx.media.net; tsdtocl.com; js-sec.indexww.com; www.youtube.com; ms-cookie-sync.presage.io; amiunique.org; ogs.google.com; timesinternet-d.openx.net; browserleaks.com; s.amazon-adsystem.com; ssum-sec.casalemedia.com; firstpartysimulator.net; acdn.adnxs.com; ep2.adtrafficquality.google; firstpartysimulator.org; b7235a33fd35b8f0b5288e012cc5bd69.safeframe.googlesyndication.com; www.google.com; u.openx.net; platform.twitter.com; accounts.google.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com; ads.pubmatic.com; eus.rubiconproject.com; cdn.taboola.com; fingerprint.com; sync.intentiq.com; sync.inmobi.com
navigator,browserLanguage,undefined,2,undefined,browserleaks.com
navigator,buildID,string,14,20181001000000,fingerprint.com; www.google.com; browserleaks.com
navigator,clipboard,object,11,{},fingerprint.com; browserleaks.com
navigator,connection,undefined,381,undefined,hbx.media.net; tsdtocl.com; js-sec.indexww.com; www.youtube.com; ms-cookie-sync.presage.io; amiunique.org; ogs.google.com; timesinternet-d.openx.net; browserleaks.com; s.amazon-adsystem.com; ssum-sec.casalemedia.com; firstpartysimulator.net; acdn.adnxs.com; ep2.adtrafficquality.google; firstpartysimulator.org; b7235a33fd35b8f0b5288e012cc5bd69.safeframe.googlesyndication.com; www.google.com; u.openx.net; platform.twitter.com; accounts.google.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com; ads.pubmatic.com; eus.rubiconproject.com; cdn.taboola.com; fingerprint.com; sync.intentiq.com; sync.inmobi.com
navigator,constructor,function,237,[fn],fingerprint.com
navigator,cookieDeprecationLabel,undefined,52,undefined,timesofindia.indiatimes.com; www.google.com; ep2.adtrafficquality.google; fingerprint.com
navigator,cookieEnabled,boolean,482,true,hbx.media.net; www.youtube.com; www.google.com; browserleaks.com; timesofindia.indiatimes.com; amiunique.org; ogs.google.com; fingerprint.com
navigator,cpuClass,undefined,44,undefined,fingerprint.com; browserleaks.com; coveryourtracks.eff.org
navigator,credentials,object,11,{},fingerprint.com; browserleaks.com
navigator,deviceMemory,undefined,144,undefined,www.youtube.com; www.google.com; browserleaks.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; fingerprint.com
navigator,devicePosture,undefined,2,undefined,browserleaks.com
navigator,doNotTrack,string,78,unspecified,timesofindia.indiatimes.com; browserleaks.com; fingerprint.com
navigator,geolocation,object,890,{},hbx.media.net; tsdtocl.com; js-sec.indexww.com; www.youtube.com; ms-cookie-sync.presage.io; amiunique.org; ogs.google.com; timesinternet-d.openx.net; browserleaks.com; s.amazon-adsystem.com; ssum-sec.casalemedia.com; firstpartysimulator.net; acdn.adnxs.com; ep2.adtrafficquality.google; firstpartysimulator.org; b7235a33fd35b8f0b5288e012cc5bd69.safeframe.googlesyndication.com; www.google.com; u.openx.net; platform.twitter.com; accounts.google.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com; ads.pubmatic.com; eus.rubiconproject.com; cdn.taboola.com; fingerprint.com; sync.intentiq.com; sync.inmobi.com
navigator,getAutoplayPolicy,function,11,[fn],fingerprint.com; browserleaks.com
navigator,getBattery,undefined,179,undefined,hbx.media.net; tsdtocl.com; js-sec.indexww.com; www.youtube.com; ms-cookie-sync.presage.io; amiunique.org; ogs.google.com; timesinternet-d.openx.net; browserleaks.com; s.amazon-adsystem.com; ssum-sec.casalemedia.com; firstpartysimulator.net; acdn.adnxs.com; ep2.adtrafficquality.google; firstpartysimulator.org; b7235a33fd35b8f0b5288e012cc5bd69.safeframe.googlesyndication.com; www.google.com; u.openx.net; platform.twitter.com; accounts.google.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com; ads.pubmatic.com; eus.rubiconproject.com; cdn.taboola.com; fingerprint.com; sync.intentiq.com; sync.inmobi.com
navigator,getGamepads,function,361,[fn],hbx.media.net; tsdtocl.com; js-sec.indexww.com; www.youtube.com; ms-cookie-sync.presage.io; amiunique.org; ogs.google.com; timesinternet-d.openx.net; browserleaks.com; s.amazon-adsystem.com; ssum-sec.casalemedia.com; firstpartysimulator.net; acdn.adnxs.com; ep2.adtrafficquality.google; firstpartysimulator.org; b7235a33fd35b8f0b5288e012cc5bd69.safeframe.googlesyndication.com; www.google.com; u.openx.net; platform.twitter.com; accounts.google.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com; ads.pubmatic.com; eus.rubiconproject.com; cdn.taboola.com; fingerprint.com; sync.intentiq.com; sync.inmobi.com
navigator,globalPrivacyControl,boolean,119,false,timesofindia.indiatimes.com; browserleaks.com; fingerprint.com
navigator,gpu,object,29,{},fingerprint.com; browserleaks.com
navigator,hardwareConcurrency,number,91,8,firstpartysimulator.org; www.youtube.com; www.google.com; browserleaks.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; fingerprint.com
navigator,hid,undefined,175,undefined,hbx.media.net; tsdtocl.com; js-sec.indexww.com; www.youtube.com; ms-cookie-sync.presage.io; amiunique.org; ogs.google.com; timesinternet-d.openx.net; browserleaks.com; s.amazon-adsystem.com; ssum-sec.casalemedia.com; firstpartysimulator.net; acdn.adnxs.com; ep2.adtrafficquality.google; firstpartysimulator.org; b7235a33fd35b8f0b5288e012cc5bd69.safeframe.googlesyndication.com; www.google.com; u.openx.net; platform.twitter.com; accounts.google.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com; ads.pubmatic.com; eus.rubiconproject.com; cdn.taboola.com; fingerprint.com; sync.intentiq.com; sync.inmobi.com
navigator,javaEnabled,function,51,[fn],fingerprint.com; browserleaks.com; amiunique.org
navigator,keyboard,undefined,2,undefined,www.youtube.com
navigator,language,string,513,en-US,www.youtube.com; browserleaks.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; fingerprint.com
navigator,languages,object,171,"[""en-US"",""en""]",www.youtube.com; www.google.com; browserleaks.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; amiunique.org; fingerprint.com
navigator,loadPurpose,undefined,77,undefined,timesofindia.indiatimes.com; fingerprint.com
navigator,locks,object,11,{},fingerprint.com; browserleaks.com
navigator,login,object,11,{},fingerprint.com; browserleaks.com
navigator,maxTouchPoints,number,209,0,ep2.adtrafficquality.google; www.youtube.com; www.google.com; browserleaks.com; coveryourtracks.eff.org; amiunique.org; ogs.google.com; fingerprint.com
navigator,mediaCapabilities,object,614,{},hbx.media.net; tsdtocl.com; js-sec.indexww.com; www.youtube.com; ms-cookie-sync.presage.io; amiunique.org; ogs.google.com; timesinternet-d.openx.net; browserleaks.com; s.amazon-adsystem.com; ssum-sec.casalemedia.com; firstpartysimulator.net; acdn.adnxs.com; ep2.adtrafficquality.google; firstpartysimulator.org; b7235a33fd35b8f0b5288e012cc5bd69.safeframe.googlesyndication.com; www.google.com; u.openx.net; platform.twitter.com; accounts.google.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com; ads.pubmatic.com; eus.rubiconproject.com; cdn.taboola.com; fingerprint.com; sync.intentiq.com; sync.inmobi.com
navigator,mediaDevices,object,195,{},hbx.media.net; tsdtocl.com; js-sec.indexww.com; www.youtube.com; ms-cookie-sync.presage.io; amiunique.org; ogs.google.com; timesinternet-d.openx.net; browserleaks.com; s.amazon-adsystem.com; ssum-sec.casalemedia.com; firstpartysimulator.net; acdn.adnxs.com; ep2.adtrafficquality.google; firstpartysimulator.org; b7235a33fd35b8f0b5288e012cc5bd69.safeframe.googlesyndication.com; www.google.com; u.openx.net; platform.twitter.com; accounts.google.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com; ads.pubmatic.com; eus.rubiconproject.com; cdn.taboola.com; fingerprint.com; sync.intentiq.com; sync.inmobi.com
navigator,mediaSession,object,13,{},fingerprint.com; browserleaks.com; www.youtube.com
navigator,mimeTypes,object,737,[MimeTypes:2],hbx.media.net; tsdtocl.com; js-sec.indexww.com; www.youtube.com; ms-cookie-sync.presage.io; amiunique.org; ogs.google.com; timesinternet-d.openx.net; browserleaks.com; s.amazon-adsystem.com; ssum-sec.casalemedia.com; firstpartysimulator.net; acdn.adnxs.com; ep2.adtrafficquality.google; firstpartysimulator.org; b7235a33fd35b8f0b5288e012cc5bd69.safeframe.googlesyndication.com; www.google.com; u.openx.net; platform.twitter.com; accounts.google.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com; ads.pubmatic.com; eus.rubiconproject.com; cdn.taboola.com; fingerprint.com; sync.intentiq.com; sync.inmobi.com
navigator,mozBattery,undefined,2,undefined,browserleaks.com
navigator,mozConnection,undefined,233,undefined,hbx.media.net; tsdtocl.com; js-sec.indexww.com; www.youtube.com; ms-cookie-sync.presage.io; amiunique.org; ogs.google.com; timesinternet-d.openx.net; browserleaks.com; s.amazon-adsystem.com; ssum-sec.casalemedia.com; firstpartysimulator.net; acdn.adnxs.com; ep2.adtrafficquality.google; firstpartysimulator.org; b7235a33fd35b8f0b5288e012cc5bd69.safeframe.googlesyndication.com; www.google.com; u.openx.net; platform.twitter.com; accounts.google.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com; ads.pubmatic.com; eus.rubiconproject.com; cdn.taboola.com; fingerprint.com; sync.intentiq.com; sync.inmobi.com
navigator,mozGetUserMedia,function,11,[fn],fingerprint.com; browserleaks.com
navigator,msDoNotTrack,undefined,24,undefined,timesofindia.indiatimes.com; browserleaks.com
navigator,msManipulationViewsEnabled,undefined,2,undefined,browserleaks.com
navigator,msMaxTouchPoints,undefined,18,undefined,browserleaks.com; coveryourtracks.eff.org
navigator,msPointerEnabled,undefined,8,undefined,www.google.com; browserleaks.com; www.youtube.com
navigator,msSaveOrOpenBlob,undefined,3,undefined,www.google.com
navigator,null,undefined,9,undefined,fingerprint.com
navigator,onLine,boolean,121,true,www.youtube.com; browserleaks.com; timesofindia.indiatimes.com; amiunique.org; fingerprint.com
navigator,oscpu,string,47,Intel Mac OS X 10.15,fingerprint.com; browserleaks.com; coveryourtracks.eff.org
navigator,pdfViewerEnabled,boolean,31,true,fingerprint.com; browserleaks.com
navigator,permissions,object,572,{},hbx.media.net; tsdtocl.com; js-sec.indexww.com; www.youtube.com; ms-cookie-sync.presage.io; amiunique.org; ogs.google.com; timesinternet-d.openx.net; browserleaks.com; s.amazon-adsystem.com; ssum-sec.casalemedia.com; firstpartysimulator.net; acdn.adnxs.com; ep2.adtrafficquality.google; firstpartysimulator.org; b7235a33fd35b8f0b5288e012cc5bd69.safeframe.googlesyndication.com; www.google.com; u.openx.net; platform.twitter.com; accounts.google.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com; ads.pubmatic.com; eus.rubiconproject.com; cdn.taboola.com; fingerprint.com; sync.intentiq.com; sync.inmobi.com
navigator,platform,string,187,MacIntel,ep2.adtrafficquality.google; www.youtube.com; www.google.com; browserleaks.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; amiunique.org; fingerprint.com
navigator,plugins,object,503,[Plugins:5],hbx.media.net; tsdtocl.com; js-sec.indexww.com; www.youtube.com; ms-cookie-sync.presage.io; amiunique.org; ogs.google.com; timesinternet-d.openx.net; browserleaks.com; s.amazon-adsystem.com; ssum-sec.casalemedia.com; firstpartysimulator.net; acdn.adnxs.com; ep2.adtrafficquality.google; firstpartysimulator.org; b7235a33fd35b8f0b5288e012cc5bd69.safeframe.googlesyndication.com; www.google.com; u.openx.net; platform.twitter.com; accounts.google.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com; ads.pubmatic.com; eus.rubiconproject.com; cdn.taboola.com; fingerprint.com; sync.intentiq.com; sync.inmobi.com
navigator,pointerEnabled,undefined,2,undefined,browserleaks.com
navigator,product,string,220,Gecko,www.google.com; browserleaks.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; amiunique.org; ogs.google.com; fingerprint.com
navigator,productSub,string,38,20100101,fingerprint.com; browserleaks.com; coveryourtracks.eff.org
navigator,registerProtocolHandler,function,11,[fn],fingerprint.com; browserleaks.com
navigator,requestMIDIAccess,function,11,[fn],fingerprint.com; browserleaks.com
navigator,requestMediaKeySystemAccess,function,74,[fn],fingerprint.com; browserleaks.com
navigator,scheduling,undefined,19,undefined,timesofindia.indiatimes.com; fingerprint.com
navigator,sendBeacon,function,656,[fn],www.google.com; browserleaks.com; timesofindia.indiatimes.com; amiunique.org; ogs.google.com; fingerprint.com
navigator,serial,undefined,175,undefined,hbx.media.net; tsdtocl.com; js-sec.indexww.com; www.youtube.com; ms-cookie-sync.presage.io; amiunique.org; ogs.google.com; timesinternet-d.openx.net; browserleaks.com; s.amazon-adsystem.com; ssum-sec.casalemedia.com; firstpartysimulator.net; acdn.adnxs.com; ep2.adtrafficquality.google; firstpartysimulator.org; b7235a33fd35b8f0b5288e012cc5bd69.safeframe.googlesyndication.com; www.google.com; u.openx.net; platform.twitter.com; accounts.google.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com; ads.pubmatic.com; eus.rubiconproject.com; cdn.taboola.com; fingerprint.com; sync.intentiq.com; sync.inmobi.com
navigator,serviceWorker,object,51,{},timesofindia.indiatimes.com; browserleaks.com; fingerprint.com
navigator,storage,object,1081,{},hbx.media.net; tsdtocl.com; js-sec.indexww.com; www.youtube.com; ms-cookie-sync.presage.io; amiunique.org; ogs.google.com; timesinternet-d.openx.net; browserleaks.com; s.amazon-adsystem.com; ssum-sec.casalemedia.com; firstpartysimulator.net; acdn.adnxs.com; ep2.adtrafficquality.google; firstpartysimulator.org; b7235a33fd35b8f0b5288e012cc5bd69.safeframe.googlesyndication.com; www.google.com; u.openx.net; platform.twitter.com; accounts.google.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com; ads.pubmatic.com; eus.rubiconproject.com; cdn.taboola.com; fingerprint.com; sync.intentiq.com; sync.inmobi.com
navigator,systemLanguage,undefined,10,undefined,browserleaks.com; coveryourtracks.eff.org
navigator,taintEnabled,function,11,[fn],fingerprint.com; browserleaks.com
navigator,usb,undefined,175,undefined,hbx.media.net; tsdtocl.com; js-sec.indexww.com; www.youtube.com; ms-cookie-sync.presage.io; amiunique.org; ogs.google.com; timesinternet-d.openx.net; browserleaks.com; s.amazon-adsystem.com; ssum-sec.casalemedia.com; firstpartysimulator.net; acdn.adnxs.com; ep2.adtrafficquality.google; firstpartysimulator.org; b7235a33fd35b8f0b5288e012cc5bd69.safeframe.googlesyndication.com; www.google.com; u.openx.net; platform.twitter.com; accounts.google.com; coveryourtracks.eff.org; timesofindia.indiatimes.com; b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com; ads.pubmatic.com; eus.rubiconproject.com; cdn.taboola.com; fingerprint.com; sync.intentiq.com; sync.inmobi.com
