timestamp,source,url,unique_apis,total_calls
2026-03-13T09:26:45.410Z,u.openx.net,https://u.openx.net/w/1.0/pd?ph=2d1251ae-7f3a-47cf-bd2a-2f288854a0ba,20,38
2026-03-13T09:26:45.410Z,ads.pubmatic.com,https://ads.pubmatic.com/AdServer/js/user_sync.html?kdntuid=1&p=164398,29,1376
2026-03-13T09:26:45.416Z,sync.inmobi.com,https://sync.inmobi.com/sync?redirect=https%3A%2F%2Fs.amazon-adsystem.com%2Fecm3%3Fex%3Dinmobi.com%2,20,38
2026-03-13T09:26:45.433Z,ads.pubmatic.com,https://ads.pubmatic.com/AdServer/js/user_sync.html?p=156011&s=165626&predirect=https%3A%2F%2Fs.amaz,29,1355
2026-03-13T09:26:45.464Z,ads.pubmatic.com,https://ads.pubmatic.com/AdServer/js/user_sync.html?p=159035&gdpr=0&gdpr_consent=&userIdMacro=(PM_UI,29,1355
2026-03-13T09:26:45.461Z,eus.rubiconproject.com,https://eus.rubiconproject.com/usync.html?p=inmobi&endpoint=us-east,20,38
2026-03-13T09:26:46.349Z,b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com,https://b53f3cefc1b5b29da6bfa38defeaf6e8.safeframe.googlesyndication.com/safeframe/1-0-45/html/conta,23,898
2026-03-13T09:26:47.351Z,ep2.adtrafficquality.google,https://ep2.adtrafficquality.google/sodar/sodar2/253/runner.html,42,4183
2026-03-13T09:26:50.420Z,tsdtocl.com,https://tsdtocl.com/,24,469
2026-03-13T09:26:51.485Z,timesofindia.indiatimes.com,https://timesofindia.indiatimes.com/,107,6732
2026-03-13T09:26:52.066Z,timesofindia.indiatimes.com,https://timesofindia.indiatimes.com/,108,6736
2026-03-13T09:26:56.837Z,www.google.com,https://www.google.com/recaptcha/api2/aframe,25,48
2026-03-13T09:26:57.069Z,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&gdpr=0&dl=n-adobe3pb_n-index_n-LoopMe_n-,20,38
2026-03-13T09:26:57.067Z,timesofindia.indiatimes.com,https://timesofindia.indiatimes.com/,108,6750
2026-03-13T09:26:57.232Z,s.amazon-adsystem.com,https://s.amazon-adsystem.com/v3/pr?exlist=n-smaato_n-start_n-onetag_pm-db5_n-Ogury_rx_n-acuityads_n,20,38
2026-03-13T09:26:57.397Z,sync.intentiq.com,https://sync.intentiq.com/profiles_engine/ProfilesEngineServlet?at=20&mi=10&dpi=1380607794&gdpr=0,20,38
2026-03-13T09:26:57.438Z,ads.pubmatic.com,https://ads.pubmatic.com/AdServer/js/user_sync.html?p=156011&s=165626&predirect=https%3A%2F%2Fs.amaz,29,1355
2026-03-13T09:26:57.470Z,ms-cookie-sync.presage.io,https://ms-cookie-sync.presage.io/user-sync.html?source=tam&gdpr=0,20,38
2026-03-13T09:27:00.254Z,ads.pubmatic.com,https://ads.pubmatic.com/AdServer/js/user_sync.html?kdntuid=1&p=164398,29,1376
